station_id,stationname,date,daytype,rides
41330,Montrose-O'Hare,2/1/2017,W,"2,675"
41340,LaSalle,2/1/2017,W,"3,393"
41350,Oak Park-Lake,2/1/2017,W,"1,558"
41360,California-Lake,2/1/2017,W,"1,053"
41380,Bryn Mawr,2/1/2017,W,"4,861"
41400,Roosevelt,2/1/2017,W,"10,621"
41410,Chicago/Milwaukee,2/1/2017,W,"4,206"
41420,Addison-North Main,2/1/2017,W,"6,390"
41430,87th,2/1/2017,W,"4,411"
41440,Addison-Brown,2/1/2017,W,"2,820"
41450,Chicago/State,2/1/2017,W,"14,016"
41460,Irving Park-Brown,2/1/2017,W,"3,356"
41480,Western-Brown,2/1/2017,W,"4,076"
41490,Harrison,2/1/2017,W,"4,496"
41500,Montrose-Brown,2/1/2017,W,"3,049"
41510,Morgan-Lake,2/1/2017,W,"2,753"
41660,Lake/State,2/1/2017,W,"21,184"
41670,Conservatory,2/1/2017,W,886
41680,Oakton-Skokie,2/1/2017,W,987
41690,Cermak-McCormick Place,2/1/2017,W,"1,246"
40010,Austin-Forest Park,2/2/2017,W,"2,084"
40020,Harlem-Lake,2/2/2017,W,"3,728"
40030,Pulaski-Lake,2/2/2017,W,"1,405"
40040,Quincy/Wells,2/2/2017,W,"8,229"
40050,Davis,2/2/2017,W,"3,537"
40060,Belmont-O'Hare,2/2/2017,W,"5,747"
40070,Jackson/Dearborn,2/2/2017,W,"7,987"
40080,Sheridan,2/2/2017,W,"5,488"
40090,Damen-Brown,2/2/2017,W,"2,983"
40100,Morse,2/2/2017,W,"4,786"
40120,35th/Archer,2/2/2017,W,"3,141"
40130,51st,2/2/2017,W,904
40140,Dempster-Skokie,2/2/2017,W,"1,797"
40150,Pulaski-Cermak,2/2/2017,W,"1,102"
40160,LaSalle/Van Buren,2/2/2017,W,"3,104"
40170,Ashland-Lake,2/2/2017,W,"2,365"
40180,Oak Park-Forest Park,2/2/2017,W,"1,883"
40190,Sox-35th-Dan Ryan,2/2/2017,W,"4,286"
40200,Randolph/Wabash,2/2/2017,W,"8,993"
40210,Damen-Cermak,2/2/2017,W,"1,571"
40220,Western-Forest Park,2/2/2017,W,"1,782"
40230,Cumberland,2/2/2017,W,"4,315"
40240,79th,2/2/2017,W,"6,892"
40250,Kedzie-Homan-Forest Park,2/2/2017,W,"2,038"
40260,State/Lake,2/2/2017,W,"9,788"
40270,Main,2/2/2017,W,"1,161"
40280,Central-Lake,2/2/2017,W,"2,077"
40290,Ashland/63rd,2/2/2017,W,"1,061"
40300,Indiana,2/2/2017,W,821
40310,Western-Orange,2/2/2017,W,"3,757"
40320,Division/Milwaukee,2/2/2017,W,"6,312"
40330,Grand/State,2/2/2017,W,"10,290"
40340,Berwyn,2/2/2017,W,"3,399"
40350,UIC-Halsted,2/2/2017,W,"7,269"
40360,Southport,2/2/2017,W,"3,557"
40370,Washington/Dearborn,2/2/2017,W,"12,397"
40380,Clark/Lake,2/2/2017,W,"20,633"
40390,Forest Park,2/2/2017,W,"3,369"
40400,Noyes,2/2/2017,W,953
40420,Cicero-Cermak,2/2/2017,W,"1,214"
40430,Clinton-Forest Park,2/2/2017,W,"3,938"
40440,California-Cermak,2/2/2017,W,"1,344"
40450,95th/Dan Ryan,2/2/2017,W,"10,555"
40460,Merchandise Mart,2/2/2017,W,"8,013"
40470,Racine,2/2/2017,W,"2,421"
40480,Cicero-Lake,2/2/2017,W,"1,298"
40490,Grand/Milwaukee,2/2/2017,W,"2,465"
40510,Garfield-South Elevated,2/2/2017,W,"1,263"
40520,Foster,2/2/2017,W,878
40530,Diversey,2/2/2017,W,"5,485"
40540,Wilson,2/2/2017,W,"6,068"
40550,Irving Park-O'Hare,2/2/2017,W,"4,239"
40560,Jackson/State,2/2/2017,W,"12,317"
40570,California/Milwaukee,2/2/2017,W,"5,871"
40580,54th/Cermak,2/2/2017,W,"2,101"
40590,Damen/Milwaukee,2/2/2017,W,"6,258"
40600,Kostner,2/2/2017,W,493
40610,Ridgeland,2/2/2017,W,"1,349"
40630,Clark/Division,2/2/2017,W,"7,980"
40640,Madison/Wabash,2/2/2017,W,0
40650,North/Clybourn,2/2/2017,W,"6,009"
40660,Armitage,2/2/2017,W,"4,429"
40670,Western/Milwaukee,2/2/2017,W,"4,874"
40680,Adams/Wabash,2/2/2017,W,"9,306"
40690,Dempster,2/2/2017,W,806
40700,Laramie,2/2/2017,W,"1,216"
40710,Chicago/Franklin,2/2/2017,W,"6,715"
40720,East 63rd-Cottage Grove,2/2/2017,W,"1,170"
40730,Washington/Wells,2/2/2017,W,"8,252"
40740,Western-Cermak,2/2/2017,W,"1,135"
40750,Harlem-O'Hare,2/2/2017,W,"2,967"
40760,Granville,2/2/2017,W,"4,218"
40770,Lawrence,2/2/2017,W,"3,684"
40780,Central Park,2/2/2017,W,"1,133"
40790,Monroe/Dearborn,2/2/2017,W,"8,596"
40800,Sedgwick,2/2/2017,W,"3,699"
40810,Medical Center,2/2/2017,W,"3,221"
40820,Rosemont,2/2/2017,W,"5,862"
40830,18th,2/2/2017,W,"1,721"
40840,South Boulevard,2/2/2017,W,811
40850,Library,2/2/2017,W,"3,793"
40870,Francisco,2/2/2017,W,"1,658"
40880,Thorndale,2/2/2017,W,"3,344"
40890,O'Hare Airport,2/2/2017,W,"8,883"
40900,Howard,2/2/2017,W,"5,506"
40910,63rd-Dan Ryan,2/2/2017,W,"3,118"
40920,Pulaski-Forest Park,2/2/2017,W,"1,705"
40930,Midway Airport,2/2/2017,W,"8,068"
40940,Halsted/63rd,2/2/2017,W,666
40960,Pulaski-Orange,2/2/2017,W,"5,257"
40970,Cicero-Forest Park,2/2/2017,W,"1,447"
40980,Harlem-Forest Park,2/2/2017,W,"1,191"
40990,69th,2/2/2017,W,"5,112"
41000,Cermak-Chinatown,2/2/2017,W,"3,559"
41010,Rockwell,2/2/2017,W,"1,968"
41020,Logan Square,2/2/2017,W,"7,309"
